weight4,setup4,speed4,weight3,setup3,speed3,weight2,setup2,speed2,weight1,setup1,speed1,wind_dir,wind_speed
TW50,X,45,TW50,X,39,TW50,X,38,TW50,X,36,184,8.2
90,SN2,29,61,S1,35,68,S1,38,67,S1,29,211,15.9
95,SO2,40,95,SO2,38,93,SO2,39,102,SN2,40,219,12.6
68,S1,46,83,SO2,39,54,X,44,X,X,X,179,10.2
56,X,38,52,X,38,38,58,36,59,X,40,226,11.6
79,S1,47,47,X,37,72,S1,38,X,X,X,184,10.8
94,SO2,51,73,S1,50,61,X,47,X,X,X,219,11.7
100,S3,46,78,SO2,46,63,S1,36,109,SO2 S3,36,168,9.9
73,SO2,36,66,S1,40,48,X,45,86,SN2,32,207,14.4
84,SN2,35,77,SO2,33,120,SN2X2 S3,42,54,X,42,242,15.4
105,SO2 S3,34,50,X,32,77,SO2,38,X,X,X,214,16
65,S1,33,85,SN2,29,X,X,X,X,X,X,240,15.7
93,S3,21,75,SO2,20,42,X,20,X,X,X,230,12.2
98,SN2,20,108,S3,22,112,S3,20,X,X,X,333,1.7
52,72,28,42,82,34,42,82,36,77,S1,26,23,2.8
73,X,30,39,79,32,85,S1,34,87,S1,33,335,2.3
57,77,36,65,75,37,62,72,24,71,X,38,18,3.3
73,X,33,95,SO2,30,114,SN2,28,85,S1,32,325,4.1
70,80,41,68,78,34,82,X,39,X,X,X,49,1.9
94,S1,30,88,S1,30,75,X,42,85,S1,32,26,1.1
67,77,31,98,S1,33,57,77,36,80,X,41,117,2.3
65,85,33,72,82,37,63,83,43,66,86,43,84,1.3
89,S1,42,74,X,40,76,X,42,79,X,40,128,1.6
82,X,45,80,X,40,94,S1,36,94,S1,34,146,3.2
80,X,37,54,84,32,86,S1,39,56,86,42,150,3.1
X,X,X,X,X,X,94,S1,39,87,S1,34,156,1.1
77,X,37,42,82,38,52,82,32,42,82,38,287,1.5
81,X,46,92,S1,44,82,X,37,115,SN2,32,275,3.3
81,X,38,80,X,41,84,X,42,89,S1,44,242,2.3
90,S1,42,59,79,40,68,78,38,50,80,37,269,3.1
X,X,X,48,78,33,93,S1,33,102,SO2,35,247,4.5
56,86,40,95,S1,36,120,S3,34,99,SO2,23,266,4.6
79,X,36,78,X,33,93,S1,34,78,X,21,243,4.7
X,X,X,91,S1,43,67,77,43,57,77,37,250,4.4
99,S1,41,77,X,45,76,X,44,92,S1,42,257,3
75,X,40,90,S1,34,107,SO2,38,84,S1,35,243,5
75,X,37,90,S1,44,73,X,46,X,X,X,247,7.6
57,77,38,82,X,38,51,81,42,46,86,48,242,6.1
X,X,X,76,X,43,71,X,39,X,X,X,249,6.3
82,X,43,98,S1,40,61,81,42,70,80,39,230,1.8
75,X,35,72,X,35,76,X,37,84,X,46,104,2.3
69,79,33,67,77,36,53,83,40,98,S1,42,77,1.5
91,S1,40,76,X,43,108,SO2,36,60,80,44,77,1.6
76,X,46,66,76,43,80,X,43,82,X,42,188,1.6
X,X,X,60,70,33,84,S1,38,X,X,X,131,4.6
55,75,34,85,S1,34,74,X,39,79,X,36,143,5.8
97,SO2,32,118,SO2 S3,28,68,S1,28,66,S1,30,200,3.3
83,S1,28,63,X,23,73,S1,29,86,S1,41,255,2.5
125,S3,34,81,S1,35,57,X,34,X,X,X,311,0
56,X,,80,S1,38,82,S1,36,117,SN2,38,285,1.2
86,S1,31,65,X,33,63,X,39,79,S1,34,262,4.8
80,S1,39,72,S1,35,62,X,35,82,S1,41,258,12.7
56,X,40,79,S1,38,57,X,40,80,S1,37,252,10.5
90,S1,38,45,75,36,38,78,40,61,X,41,255,12
87,S1,41,82,S1,38,X,X,X,X,X,X,241,9.6
76,X,35,53,73,35,45,75,35,96,S1,45,237,12
97,SO2,33,88,S1,38,100,SO2,39,108,SO2,39,215,9.9
67,X,37,97,SO2,36,54,74,35,52,72,35,228,15
114,SN2,37,39,79,44,85,S1,42,84,S1,38,256,11.6
89,SO2,36,76,S1,37,64,X,45,63,X,37,255,9
116,SN2,33,65,X,34,76,S1,36,76,S1,40,244,10
66,X,39,50,60,37,64,X,37,90,SO2,29,249,14.3
73,X,41,59,X,41,52,62,36,69,X,41,236,13.2
80,S1,50,97,SO2,44,66,X,46,92,SO2,45,218,14.7
66,S1,42,73,SO2,39,94,SN2,41,67,S1,43,221,13.6
113,S3 SN2,43,58,S1,43,105,S3 S1,50,100,S3,51,206,14.6
99,S1 S3,42,71,SO2,37,85,SN2,37,106,SO2 S3,42,219,15
106,SO2 S3,40,64,S1,36,70,SO2,35,X,X,X,156,14.9
61,S1,44,93,S3,40,113,SO2 SN2 S3,44,92,S3,40,173,18.9
72,SN2,31,77,SN2,37,67,SO2,31,88,S3,31,205,16.4
65,SO2,31,58,S1,36,122,SN2X2 S3,42,X,X,X,195,11.4
62,SO2,25,80,SN2,33,80,SN2,33,87,S3,35,232,13.4
58,S1,33,57,S1,31,77,SN2,30,X,X,X,152,10.5
108,SN2 S3,33,87,S3,35,105,SO2 S3,35,X,X,X,212,9.2
101,S1 S3,37,63,SO2,33,115,SN2X2 S3,40,114,S2X2 S3,41,164,7.6
112,SO2 SN2 S3,43,90,S3,36,66,SO2,38,110,SO2 SN2 S3,45,173,9.3
99,S3 S1,34,102,S3 SO2,32,106,S3 SN2,30,109,SO2 SN2 S3,31,189,10.3
89,S3,32,68,SO2,33,78,SN2,33,84,SN2,33,205,11.1
86,SN2,30,65,SO2,18,87,SN2,34,85,SN2,33,264,9.3
X,X,X,57,S1,34,88,SN2,36,X,X,X,218,11.1
X,X,X,73,S1,43,74,S1,43,88,SO2,43,203,11.5
73,S1,40,41,61,42,68,S1,44,X,X,X,189,12
85,SO2,39,72,S1,44,45,65,42,92,SN2,38,172,12.5
92,SN2,42,95,SN2,43,68,S1,40,110,SN2 S3,41,195,12.2
70,S1,44,89,SN2,42,83,SO2,40,86,SO2,38,198,11.6
63,S1,31,61,S1,40,58,S1,42,78,SO2,40,173,14.5
116,SO2 SN2 S3,42,89,SN2,40,60,S1,34,56,S1,36,153,11.5
94,SN2,38,66,S1,40,92,SN2,39,92,SN2,41,170,10.7
43,53,40,95,SN2,41,87,SN2,44,80,SO2,44,146,9.9
87,S3,39,60,S1,39,60,S1,40,86,S3,37,179,12.6
64,SO2,34,58,S1,36,43,53,38,60,S1,34,247,14.3
72,SO2,33,64,SO2,33,66,SO2,32,68,SO2,33,250,8.5
74,SO2,34,80,SO2,34,65,S1,37,60,S1,38,209,10.3
69,SO2,29,74,SO2,30,72,SO2,30,75,SO2,33,132,9.4
68,SO2,30,73,SO2,32,63,S1,35,59,S1,31,255,7.3
71,S1,31,58,X,32,85,SO2,35,76,S1,36,216,11.6
64,X,40,60,X,39,62,X,42,91,SO2,39,223,8
72,S1,35,88,SO2,33,72,S1,33,X,X,X,220,8.2
X,X,X,76,S1,40,81,S1,42,82,S1,37,207,9
94,SO2,36,56,X,33,49,59,33,100,SN2,28,231,10.6
X,X,X,84,S1,47,83,S1,43,X,X,X,227,11.1
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
