weight4,setup4,speed4,weight3,setup3,speed3,weight2,setup2,speed2,weight1,setup1,speed1,wind_dir,wind_speed,
TW50,X,32,TW50,X,30,TW50,X,36,TW50,X,35,321,3.7,
64,X,35,52,62,20,61,X,40,68,X,40,318,3.4,
84,S1,36,89,S1,38,85,S1,38,62,X,33,332,3.8,
90,S1,45,85,S1,49,76,S1,33,79,S1,33,316,3.4,
86,S1,41,59,69,33,82,S1,30,100,SO2,33,314,3.2,
88,S1,40,52,72,41,82,S1,35,X,X,X,314,3.7,
93,SO2,24,81,S1,30,101,SO2,29,104,SO2,32,319,2.1,
80,S1,37,77,X,36,85,S1,34,65,75,45,316,3.3,
87,S1,27,69,X,31,89,S1,30,91,S1,34,330,4,
X,X,X,73,X,35,83,S1,33,89,S1,39,321,3.9,
59,69,35,52,72,34,83,S1,35,78,S1,34,314,4,
X,X,X,76,X,42,63,73,40,X,X,X,356,2.5,
98,S1,38,69,X,35,68,X,36,101,SO2,33,329,1.2,
88,S1,35,89,S1,46,105,SO2,31,96,S1,39,309,3.1,
75,X,38,92,S1,46,95,S1,39,74,X,33,323,4.4,
91,S1,35,54,74,36,106,SO2,31,77,X,43,316,5.5,
71,X,38,81,S1,27,95,S1,44,X,X,X,343,5.1,
88,S1,29,70,X,30,104,SO2,31,74,X,37,346,0.1,
55,75,37,80,X,40,76,X,46,81,X,47,318,2,
X,X,X,102,SO2,36,82,S1,34,96,S1,35,309,1.5,
95,S1,42,60,70,40,73,83,37,85,S1,44,311,2.2,
69,X,39,86,S1,38,69,X,37,X,X,X,337,3.8,
64,74,37,58,68,36,60,70,36,80,S1,35,311,3.8,
85,S1,38,63,73,30,59,69,35,82,S1,33,312,2.9,
56,76,33,83,S1,38,70,X,43,72,X,40,300,2.4,
104,SO2,33,80,S1,35,86,S1,37,95,S1,36,335,4.7,
77,X,44,69,X,36,45,75,39,70,X,36,313,3.5,
75,X,36,77,X,34,63,73,36,104,SO2,35,311,3.8,
73,X,33,62,72,35,57,67,34,104,SO2,30,314,2.1,
88,S1,36,96,S1,44,66,X,33,70,X,35,275,4.5,
51,71,40,70,X,41,85,S1,39,72,X,38,294,2.9,
84,S1,47,57,67,35,68,X,38,52,72,34,276,2.2,
66,76,47,78,S1,32,77,S1,35,75,X,36,77,0.5,
92,S1,41,98,SO2,38,51,71,37,82,S1,35,155,0.2,
51,71,41,77,S1,36,98,SO2,33,58,68,28,154,3.6,
67,X,40,72,X,41,38,68,31,54,74,41,146,3.7,
66,X,44,66,X,37,68,X,38,77,S1,33,127,4.8,
100,SN2,36,52,72,42,83,S1,41,80,S1,42,115,6.2,
72,X,36,89,S1,42,80,S1,43,70,X,39,137,5.3,
90,SO2,34,66,X,40,77,S1,38,96,SO2,36,141,7.8,
79,S1,40,72,X,40,48,68,36,53,63,40,133,7.1,
100,SN2,40,63,X,44,69,X,46,50,60,37,161,5.5,
75,S1,34,82,SO2,36,112,S3,35,93,SN2,38,219,7.3,
106,SN2,38,61,X,35,70,S1,31,72,S1,38,179,7.6,
76,S1,35,100,SN2,34,81,SO2,37,X,X,X,150,8.1,
82,SO2,36,47,57,34,56,X,41,102,SN2,36,148,8.8,
79,SO2,36,37,57,41,99,SN2,36,95,SN2,34,159,13,
109,SN2,44,76,SO2,35,34,54,32,58,X,36,112,8.4,
83,SO2,36,102,SN2,37,103,SN2,35,70,SO2,34,155,10.1,
112,S3,33,101,SN2,35,88,SO2,36,78,SO2,35,159,8.5,
74,SO2,26,74,SO2,37,112,S3,40,57,X,44,125,7,
89,SO2,36,65,S1,34,106,SN2,35,111,S3,36,153,5.1,
72,S1,37,53,X,20,97,SN2,30,72,S1,30,137,8.8,
X,X,X,75,S1,30,62,X,52,78,S1,36,122,8.7,
100,SN2,36,76,S1,33,68,S1,22,83,SO2,28,131,8.8,
57,X,35,91,SO2,35,66,S1,30,93,SO2,35,136,9.4,
116,S3,32,84,SO2,33,56,X,33,100,SN2,33,151,6.5,
88,SO2,33,64,S1,28,96,SO2,33,90,SO2,33,140,6,
97,SO2,33,64,S1,27,89,SO2,25,41,51,5,114,6.9,
84,S1,40,109,SO2,44,72,S1,31,107,SO2,36,129,6.7,
81,S1,39,77,S1,34,92,SO2,35,99,SO2,39,136,8,
95,SO2,36,117,SN2,37,74,S1,35,94,SO2,34,98,9.7,
X,X,X,75,S1,37,88,SO2,32,67,S1,34,96,10.4,
60,X,35,56,X,26,72,S1,26,68,S1,31,127,7.8,
78,S1,35,86,SO2,34,67,S1,32,X,X,X,112,11.3,
72,S1,33,82,SO2,31,73,S1,33,X,X,X,115,10.9,
99,SO2,36,53,63,35,50,60,26,83,SO2,20,128,11.2,
81,SO2,30,31,61,31,40,60,33,58,X,35,116,8.6,
X,X,X,63,X,35,71,S1,36,93,SO2,32,115,10.2,
68,S1,33,69,S1,33,87,SO2,27,75,S1,35,115,9.9,
78,S1,32,50,60,34,78,S1,29,81,SO2,25,126,10.9,
77,S1,31,58,X,34,61,X,32,69,S1,31,106,12.3,
X,X,X,71,S1,43,79,S1,36,75,S1,29,101,10.8,
64,X,35,75,S1,39,78,S1,37,103,SO2,37,134,7.4,
81,SO2,32,89,SO2,34,53,X,25,84,SO2,34,136,12.8,
66,X,36,76,S1,36,65,X,34,75,S1,34,148,8.6,
96,SO2,39,60,X,39,84,SO2,35,87,SO2,35,96,9.6,
86,SO2,36,92,SO2,33,94,SO2,35,61,X,41,143,6.7,
X,X,X,78,S1,33,74,S1,33,72,S1,28,120,10.6,
X,X,X,57,X,26,70,S1,28,104,SO2,37,113,5.8,
X,X,X,79,S1,39,67,X,36,78,S1,39,131,6.9,
93,SO2,34,85,S1,36,59,X,39,X,X,X,57,5.4,
