weight4,setup4,speed4,weight3,setup3,speed3,weight2,setup2,speed2,weight1,setup1,speed1,wind_dir,wind_speed,
TW50,X,28,TW50,X,28,TW50,X,38,50,X,37,117,10.8,
67,X,32,40,70,33,85,S1,44,X,X,X,96,8.1,
114,SN2,40,83,S1,44,96,S1,42,104,SO2,43,114,13.2,
X,X,X,102,SO2,42,65,X,39,73,X,37,136,11.9,
84,S1,41,110,SN2,41,76,S1,40,65,X,38,118,9.1,
107,SO2,40,86,S1,40,X,X,X,83,S1,35,104,10.4,
81,S1,35,76,S1,35,109,SN2,33,106,SN2,30,139,12,
98,SO2,39,65,X,39,63,X,37,103,SO2,37,114,8.1,
105,SN2,36,56,X,37,115,S3,40,67,X,42,148,12.5,
113,SN2,34,95,SO2,38,82,S1,39,66,X,41,94,7.3,
X,X,X,88,S1,44,73,X,39,54,X,30,135,11.8,
59,X,34,76,S1,35,73,X,45,79,S1,36,133,13.1,
47,67,39,107,SN2,42,48,68,45,76,S1,42,125,6.3,
58,X,34,64,X,35,64,X,37,59,X,37,126,7.4,
100,SO2,35,91,SO2,34,77,S1,36,89,SO2,37,123,7.9,
X,X,X,77,S1,44,72,X,45,70,X,40,134,8.1,
119,SN2,47,103,SO2,42,71,X,43,91,S1,41,123,5.1,
44,54,37,82,S1,43,45,55,35,62,X,40,108,13.7,
81,S1,37,47,57,25,61,X,34,108,SN2,35,120,10.4,
71,X,41,81,S1,37,89,SO2,33,87,SO2,32,127,10,
40,50,32,119,S3,35,38,48,34,92,SO2,30,76,2.6,
X,X,X,76,S1,43,31,61,40,67,X,45,105,6,
59,X,42,72,S1,40,74,S1,36,80,S1,37,166,5.8,
77,S1,37,62,X,33,55,X,23,87,SO2,30,134,3.4,
X,X,X,94,SO2,39,53,X,38,55,X,32,98,5.8,
X,X,X,82,S1,39,75,S1,38,79,S1,37,132,5.5,
67,X,40,53,X,33,38,58,32,82,S1,43,154,4.1,
57,X,37,53,X,38,75,S1,43,67,X,58,139,9.4,
70,X,34,67,X,32,76,S1,36,79,S1,33,141,7.1,
88,SO2,32,59,X,33,66,S1,33,103,SN2,34,145,5,
83,SO2,34,51,X,40,37,57,42,52,X,39,101,6.1,
X,X,X,75,SO2,29,59,X,28,44,54,25,128,2.6,
74,S1,29,55,X,30,88,SO2,35,81,SO2,33,122,8.7,
X,X,X,55,X,33,58,X,38,82,S1,40,126,8.9,
77,S1,33,40,50,32,88,SO2,40,62,X,42,115,11,
58,X,33,90,SO2,38,69,S1,39,83,SO2,34,155,11.6,
65,S1,37,81,SO2,36,51,X,35,68,S1,33,166,10.4,
88,SO2,23,74,S1,38,40,50,37,92,SO2,38,133,9.1,
X,X,X,113,S3,24,53,X,25,85,SO2,33,63,9.2,
97,SN2,27,85,SO2,30,77,S1,25,X,X,X,101,5.8,
61,X,32,96,SN2,37,96,SN2,37,53,X,37,82,7.7,
X,X,X,69,S1,41,74,S1,40,47,57,39,139,7.5,
65,S1,33,89,SO2,34,110,S3,33,70,S1,33,142,10.2,
84,SO2,31,83,SO2,32,113,S3,42,77,S1,40,148,6.3,
77,S1,30,51,X,26,87,SO2,37,106,SN2,35,121,7.2,
91,SO2,32,104,SN2,34,62,X,36,96,SO2,40,132,5.2,
